channelid,tvg-name,group-title,tvg-logo,channelname
10001182,湛江综合,广东,https://epg.v1.mk/logo/湛江综合.png,湛江新闻综合
340661895,茂名综合,广东,https://epg.v1.mk/logo/茂名综合.png,茂名综合
340450208,茂名公共,广东,https://epg.v1.mk/logo/茂名文化生活.png,茂名文化生活
755668147,阳江-1,广东,https://epg.v1.mk/logo/阳江-1.png,阳江-1
10001742,云浮综合,广东,https://epg.v1.mk/logo/云浮综合.png,云浮综合
10001741,云浮文旅,广东,https://epg.v1.mk/logo/云浮文旅.png,云浮文旅
10001663,清远新闻综合,广东,https://epg.v1.mk/logo/清远新闻综合.png,清远新闻综合
8480,韶关新闻,广东,https://epg.v1.mk/logo/韶关新闻综合.png,韶关新闻综合
10001313,河源新闻综合,广东,https://epg.v1.mk/logo/河源综合.png,河源新闻综合
10001312,河源公共,广东,https://epg.v1.mk/logo/河源公共.png,河源生活
634028640,梅州-1,广东,https://epg.v1.mk/logo/梅州综合.png,梅州综合
634028315,客家生活,广东,https://epg.v1.mk/logo/客家生活.png,梅州客家生活
700360053,睛彩竞技,广东,https://epg.v1.mk/logo/睛彩竞技.png,睛彩竞技
700360055,睛彩篮球,广东,https://epg.v1.mk/logo/睛彩篮球.png,睛彩篮球
700359559,睛彩青少,广东,https://epg.v1.mk/logo/睛彩青少.png,睛彩青少
700359560,睛彩广场舞,广东,https://epg.v1.mk/logo/睛彩广场舞.png,睛彩广场舞
731151793,中国天气,广东,https://epg.v1.mk/logo/中国天气.png,中国天气
6838,CCTV1,央视,https://epg.v1.mk/logo/CCTV1.png,CCTV-1 综合
8921,CCTV2,央视,https://epg.v1.mk/logo/CCTV2.png,CCTV-2 财经
143526676,CCTV3,央视,https://epg.v1.mk/logo/CCTV3.png,CCTV-3 综艺
10001121,CCTV4,央视,https://epg.v1.mk/logo/CCTV4.png,CCTV-4 中文国际
594151337,CCTV4欧洲,央视,https://epg.v1.mk/logo/CCTV4欧洲.png,CCTV-4 中文国际欧洲
594151333,CCTV4美洲,央视,https://epg.v1.mk/logo/CCTV4美洲.png,CCTV-4 中文国际美洲
6143,CCTV5+,央视,https://epg.v1.mk/logo/CCTV5+.png,CCTV-5+ 体育赛事
143526200,CCTV5,央视,https://epg.v1.mk/logo/CCTV5.png,CCTV-5 体育
143526615,CCTV6,央视,https://epg.v1.mk/logo/CCTV6.png,CCTV-6 电影
8922,CCTV7,央视,https://epg.v1.mk/logo/CCTV7.png,CCTV-7 国防 军事
143526317,CCTV8,央视,https://epg.v1.mk/logo/CCTV8.png,CCTV-8 电视剧
8919,CCTV9,央视,https://epg.v1.mk/logo/CCTV9.png,CCTV-9 记录
8918,CCTV10,央视,https://epg.v1.mk/logo/CCTV10.png,CCTV-10 科教
10001241,CCTV11,央视,https://epg.v1.mk/logo/CCTV11.png,CCTV-11 戏曲
8920,CCTV12,央视,https://epg.v1.mk/logo/CCTV12.png,CCTV-12 社会与法
10001823,CCTV13,央视,https://epg.v1.mk/logo/CCTV13.png,CCTV-13 新闻
8917,CCTV14,央视,https://epg.v1.mk/logo/CCTV14.png,CCTV-14 少儿
10001242,CCTV15,央视,https://epg.v1.mk/logo/CCTV15.png,CCTV-15 音乐
425398357,CCTV16,央视,https://epg.v1.mk/logo/CCTV16.png,CCTV-16 奥林匹克
10001122,CCTV17,央视,https://epg.v1.mk/logo/CCTV17.png,CCTV-17 农业 农村
710573141,卫生健康,央视,https://epg.v1.mk/logo/卫生健康.png,CCTV-卫生健康
10001581,兵器科技,央视,https://epg.v1.mk/logo/兵器科技.png,CCTV-兵器科技
10001582,电视指南,央视,https://epg.v1.mk/logo/电视指南.png,CCTV-电视指南
10001587,风云足球,央视,https://epg.v1.mk/logo/风云足球.png,CCTV-风云足球
10001591,央视台球,央视,https://epg.v1.mk/logo/央视台球.png,CCTV-央视台球
10001586,高尔夫网球,央视,https://epg.v1.mk/logo/高尔夫网球.png,CCTV-高尔夫网球
10001590,女性时尚,央视,https://epg.v1.mk/logo/女性时尚.png,CCTV-女性时尚
10001592,世界地理,央视,https://epg.v1.mk/logo/世界地理.png,CCTV-世界地理
10001589,怀旧剧场,央视,https://epg.v1.mk/logo/怀旧剧场.png,CCTV-怀旧剧场
10001588,风云剧场,央视,https://epg.v1.mk/logo/风云剧场.png,CCTV-风云剧场
